voice_mail_plan,voice_mail_messages,international_mins,customer_service_calls,international_plan,international_calls,international_charge,total_charge,churn
1,25,10,1,0,3,2.7,75.56,0
1,26,13.7,1,0,3,3.7,59.24,0
0,0,12.2,0,0,5,3.29,62.29,0
0,0,10.1,3,1,3,2.73,52.09,0
0,0,6.3,0,1,6,1.7,67.61,0
1,24,7.5,3,0,7,2.03,78.31,0
0,0,7.1,0,1,6,1.92,46.9,0
0,0,8.7,1,0,4,2.35,73.32,0
0,0,9.1,0,0,5,2.46,57.08,0
0,0,11.2,1,0,2,3.02,40.19,0
0,0,12.3,3,0,5,3.32,59.64,0
0,0,13.1,4,0,6,3.54,59.31,0
1,27,13.8,1,0,4,3.73,65.02,0
0,0,8.1,3,0,3,2.19,58.99,0
1,33,10,1,0,5,2.7,60.5,0
0,0,13,1,0,2,3.51,63.9,0
0,0,10.6,0,0,4,2.86,59,0
0,0,9.5,0,0,19,2.57,48.06,0
0,0,7.7,2,0,6,2.08,41.05,0
0,0,10.3,0,0,2,2.78,48.08,0
0,0,15.5,3,0,5,4.19,60.15,0
1,39,9.5,0,0,3,2.57,63.24,0
0,0,14.7,3,0,4,3.97,44.61,0
0,0,6.3,0,0,6,1.7,64.12,0
0,0,11.1,1,0,1,3,49.6,0
0,0,14.2,2,0,6,3.83,41.14,0
0,0,10.3,1,0,5,2.78,69.43,0
1,25,8.3,0,0,4,2.24,58.49,0
1,37,14.7,3,0,6,3.97,66.72,0
1,30,14.5,0,0,6,3.92,48.42,0
0,0,10,1,0,5,2.7,54.2,0
1,33,10.5,3,1,6,2.84,58.03,0
0,0,11.1,1,0,9,3,58.44,0
0,0,9.4,3,0,2,2.54,46.64,0
0,0,10,2,0,4,2.7,61.93,0
0,0,9.2,3,0,4,2.48,39.15,0
0,0,3.5,1,0,3,0.95,58.26,0
1,28,8.5,2,0,5,2.3,48.3,0
0,0,13.2,3,0,5,3.56,59.36,0
0,0,7.4,2,0,5,2,56.13,0
0,0,7.8,3,0,5,2.11,68.32,0
0,0,6.8,1,0,3,1.84,68.49,0
0,0,11.4,2,0,6,3.08,63.62,0
0,0,9.3,2,0,5,2.51,62.76,0
0,0,10.2,1,0,3,2.75,65.94,0
0,0,8,1,0,2,2.16,45.37,0
0,0,12.1,3,0,3,3.27,55.36,0
0,0,12,1,0,8,3.24,65.82,0
0,0,11.4,1,0,4,3.08,57.68,0
1,34,11.6,2,0,3,3.13,71.42,0
1,33,14.6,2,0,3,3.94,64,0
1,28,12.6,3,0,3,3.4,62.03,0
0,0,8.2,2,0,6,2.21,45.51,0
1,41,6.2,2,0,5,1.67,50.89,0
0,0,9.3,0,1,4,2.51,70.46,0
0,0,8.3,0,1,8,2.24,46.88,0
0,0,7.8,1,0,1,2.11,63.43,0
0,0,11.8,3,0,7,3.19,72.08,0
1,46,12.1,0,0,2,3.27,68.96,0
0,0,8,3,0,4,2.16,64.84,0
0,0,7.3,1,0,4,1.97,62.68,0
0,0,12,0,0,3,3.24,65.16,0
0,0,6.1,1,0,2,1.65,55.5,0
0,0,8.2,2,0,3,2.21,60.57,0
0,0,15,1,0,2,4.05,56.46,0
0,0,13.2,1,0,2,3.56,73.63,0
0,0,12.6,3,1,5,3.4,69.96,0
1,25,11,3,0,2,2.97,50.6,0
1,24,9.8,1,0,4,2.65,77.16,0
1,29,8.6,0,0,7,2.32,66.54,0
0,0,12,1,0,2,3.24,65.6,0
1,35,10.9,2,0,9,2.94,48.72,0
0,0,11.1,1,0,2,3,48.96,0
0,0,7.9,1,0,9,2.13,49.36,0
0,0,9.5,3,0,7,2.57,72.6,0
0,0,10.6,3,0,7,2.86,55.26,0
0,0,9.8,1,0,5,2.65,64.21,0
0,0,13,0,0,4,3.51,56.69,0
0,0,8.7,4,0,3,2.35,62.25,0
1,21,4.4,4,0,8,1.19,57.24,0
0,0,14.6,0,0,5,3.94,56.13,0
0,0,10.5,0,0,6,2.84,46.85,0
0,0,12.5,1,0,9,3.38,52.98,0
0,0,11.3,1,0,2,3.05,57.99,0
0,0,11.8,4,0,4,3.19,68.13,0
1,29,9,2,0,6,2.43,75.88,0
1,21,9.8,1,0,3,2.65,46.43,0
1,32,10.1,1,0,1,2.73,49,0
0,0,9.6,3,0,7,2.59,65.09,0
0,0,8.3,1,0,8,2.24,62.61,0
0,0,12.6,2,0,2,3.4,63.86,0
0,0,12.1,4,0,4,3.27,57.12,0
0,0,13.3,1,0,7,3.59,53.79,0
0,0,9.4,1,0,3,2.54,36.48,0
0,0,14.2,1,0,3,3.83,47.01,0
1,36,10,2,0,3,2.7,43.41,0
0,0,8.7,2,0,5,2.35,67.83,0
0,0,13.1,1,0,7,3.54,67.59,0
1,22,7.2,0,0,3,1.94,56.74,0
0,0,9.8,3,0,4,2.65,60.61,0
0,0,11.6,1,0,3,3.13,48.51,0
0,0,9.2,2,0,5,2.48,48.29,0
0,0,12,1,0,3,3.24,68.34,0
0,0,9.2,2,0,4,2.48,42.41,0
1,36,9.5,3,0,4,2.57,64.63,0
0,0,10.9,3,0,2,2.94,52.79,0
0,0,6.1,1,0,5,1.65,54.92,0
0,0,9.5,1,0,3,2.57,73.18,0
0,0,7.1,4,0,1,1.92,62.34,0
0,0,9.1,1,0,10,2.46,62.46,0
0,0,11.2,3,1,3,3.02,50.95,0
1,21,5.3,5,0,4,1.43,60.5,0
0,0,12,3,0,3,3.24,64.43,0
1,36,11.2,1,0,8,3.02,56.79,0
1,23,10.2,2,0,5,2.75,57.66,0
0,0,12.4,1,0,3,3.35,60.8,0
1,39,10.5,0,0,4,2.84,67.04,0
1,28,6.8,3,0,5,1.84,56.14,0
0,0,11.7,1,0,4,3.16,70.71,0
0,0,14.3,3,0,6,3.86,61.86,0
0,0,13.7,1,0,3,3.7,55.09,0
0,0,11.7,1,1,4,3.16,73.16,0
0,0,8.5,1,0,5,2.3,58.99,0
1,43,11.1,2,0,4,3,73.5,0
0,0,10.6,1,0,6,2.86,62.38,0
0,0,10.1,1,0,7,2.73,51.24,0
0,0,7.5,1,0,6,2.03,57.6,0
0,0,6.9,1,0,11,1.86,67.72,0
0,0,11.5,5,0,4,3.11,71.92,0
0,0,9.8,0,0,4,2.65,69.83,0
1,23,13.7,0,0,2,3.7,63.15,0
0,0,10.2,1,0,2,2.75,63.82,0
1,24,9.6,1,0,4,2.59,49.76,0
0,0,7.1,0,0,5,1.92,45.92,0
0,0,12,0,0,6,3.24,72.09,0
1,36,10.5,3,0,5,2.84,65.57,0
0,0,12.2,1,0,1,3.29,42.26,0
0,0,6.1,1,0,3,1.65,56.87,0
1,33,12.1,2,0,2,3.27,73.06,0
